"participant.id_in_session","condition","session_id","subsession.round_number","participant_number","item_number","answers","target","network_size","Answers_clean"
2,"ws","hg739rpo",10,"p11","reordered_keywords_2","angel",1,12,"angel"
2,"ws","hg739rpo",10,"p11","reordered_keywords_3","flag",1,12,"flag"
2,"ws","hg739rpo",10,"p11","reordered_keywords_4","antennae",1,12,"antenna"
2,"ws","hg739rpo",10,"p11","reordered_keywords_5","apron",1,12,"apron"
3,"random","pqesetud",4,"p110","reordered_keywords_1","shield",1,24,"shield"
3,"random","pqesetud",4,"p110","reordered_keywords_4","slug",0,24,"slug"
4,"random","pqesetud",3,"p111","reordered_keywords_1","shield",1,24,"shield"
4,"random","pqesetud",3,"p111","reordered_keywords_4","horse shoe",0,24,"horse shoe"
4,"random","pqesetud",4,"p111","reordered_keywords_1","shield",1,24,"shield"
4,"random","pqesetud",4,"p111","reordered_keywords_4","horse shoe",0,24,"horse shoe"
4,"random","pqesetud",9,"p111","reordered_keywords_1","shield",1,24,"shield"
4,"random","pqesetud",9,"p111","reordered_keywords_4","horse shoe",0,24,"horse shoe"
5,"random","pqesetud",2,"p112","reordered_keywords_1","holly",0,24,"holly"
5,"random","pqesetud",2,"p112","reordered_keywords_4","antennae",1,24,"antenna"
5,"random","pqesetud",3,"p112","reordered_keywords_1","holly",0,24,"holly"
5,"random","pqesetud",3,"p112","reordered_keywords_4","antennae",1,24,"antenna"
5,"random","pqesetud",4,"p112","reordered_keywords_1","holly",0,24,"holly"
5,"random","pqesetud",4,"p112","reordered_keywords_4","snail",0,24,"snail"
5,"random","pqesetud",9,"p112","reordered_keywords_1","holly",0,24,"holly"
5,"random","pqesetud",9,"p112","reordered_keywords_4","snail",0,24,"snail"
6,"random","pqesetud",7,"p113","reordered_keywords_1","shield",1,24,"shield"
6,"random","pqesetud",7,"p113","reordered_keywords_4","antennae",1,24,"antenna"
6,"random","pqesetud",8,"p113","reordered_keywords_1","shield",1,24,"shield"
6,"random","pqesetud",8,"p113","reordered_keywords_4","antennae",1,24,"antenna"
6,"random","pqesetud",9,"p113","reordered_keywords_1","shield",1,24,"shield"
6,"random","pqesetud",9,"p113","reordered_keywords_4","antennae",1,24,"antenna"
7,"random","pqesetud",4,"p114","reordered_keywords_1","like a sea star",0,24,"sea star"
7,"random","pqesetud",4,"p114","reordered_keywords_4","swans",0,24,"swan"
7,"random","pqesetud",6,"p114","reordered_keywords_1","a star sea star",0,24,"star sea star"
7,"random","pqesetud",6,"p114","reordered_keywords_4","a heart",0,24,"heart"
7,"random","pqesetud",9,"p114","reordered_keywords_1","sea star",0,24,"sea star"
7,"random","pqesetud",9,"p114","reordered_keywords_4","heart",0,24,"heart"
8,"random","pqesetud",6,"p115","reordered_keywords_1","giraffe",0,24,"giraffe"
8,"random","pqesetud",6,"p115","reordered_keywords_4","snail",0,24,"snail"
8,"random","pqesetud",7,"p115","reordered_keywords_1","shield",1,24,"shield"
8,"random","pqesetud",7,"p115","reordered_keywords_4","antennae",1,24,"antenna"
8,"random","pqesetud",9,"p115","reordered_keywords_1","shield",1,24,"shield"
8,"random","pqesetud",9,"p115","reordered_keywords_4","antennae",1,24,"antenna"
9,"random","pqesetud",5,"p116","reordered_keywords_1","shield",1,24,"shield"
9,"random","pqesetud",5,"p116","reordered_keywords_4","antennae",1,24,"antenna"
9,"random","pqesetud",9,"p116","reordered_keywords_1","shield",1,24,"shield"
9,"random","pqesetud",9,"p116","reordered_keywords_4","antennae",1,24,"antenna"
10,"random","pqesetud",2,"p117","reordered_keywords_4","antennae",1,24,"antenna"
10,"random","pqesetud",5,"p117","reordered_keywords_1","shield",1,24,"shield"
10,"random","pqesetud",5,"p117","reordered_keywords_4","antennae",1,24,"antenna"
10,"random","pqesetud",9,"p117","reordered_keywords_1","shield",1,24,"shield"
10,"random","pqesetud",9,"p117","reordered_keywords_4","antennae",1,24,"antenna"
11,"random","pqesetud",6,"p118","reordered_keywords_1","shield",1,24,"shield"
11,"random","pqesetud",6,"p118","reordered_keywords_4","antennae",1,24,"antenna"
11,"random","pqesetud",9,"p118","reordered_keywords_1","shield",1,24,"shield"
11,"random","pqesetud",9,"p118","reordered_keywords_4","antennae",1,24,"antenna"
12,"random","pqesetud",9,"p119","reordered_keywords_1","shield",1,24,"shield"
12,"random","pqesetud",9,"p119","reordered_keywords_4","swans neck curling",0,24,"swan neck curl"
2,"ws","j8urhz5m",5,"p12","reordered_keywords_1","shield",1,12,"shield"
2,"ws","j8urhz5m",5,"p12","reordered_keywords_2","angel",1,12,"angel"
2,"ws","j8urhz5m",5,"p12","reordered_keywords_3","flag",1,12,"flag"
2,"ws","j8urhz5m",5,"p12","reordered_keywords_4","antennae",1,12,"antenna"
2,"ws","j8urhz5m",5,"p12","reordered_keywords_5","apron",1,12,"apron"
2,"ws","j8urhz5m",10,"p12","reordered_keywords_1","shield",1,12,"shield"
2,"ws","j8urhz5m",10,"p12","reordered_keywords_2","angel",1,12,"angel"
2,"ws","j8urhz5m",10,"p12","reordered_keywords_3","flag",1,12,"flag"
2,"ws","j8urhz5m",10,"p12","reordered_keywords_4","antennae",1,12,"antenna"
2,"ws","j8urhz5m",10,"p12","reordered_keywords_5","apron",1,12,"apron"
13,"random","pqesetud",7,"p120","reordered_keywords_1","holly leaf",0,24,"holly leaf"
13,"random","pqesetud",7,"p120","reordered_keywords_4","antennae",1,24,"antenna"
13,"random","pqesetud",9,"p120","reordered_keywords_1","hairbrush",0,24,"hairbrush"
13,"random","pqesetud",9,"p120","reordered_keywords_4","horseshoe",0,24,"horseshoe"
14,"random","pqesetud",7,"p121","reordered_keywords_1","shield",1,24,"shield"
14,"random","pqesetud",7,"p121","reordered_keywords_4","antennae",1,24,"antenna"
14,"random","pqesetud",9,"p121","reordered_keywords_1","shield",1,24,"shield"
14,"random","pqesetud",9,"p121","reordered_keywords_4","antennae",1,24,"antenna"
15,"random","pqesetud",4,"p122","reordered_keywords_1","holly leaf",0,24,"holly leaf"
15,"random","pqesetud",4,"p122","reordered_keywords_4","holly leaf",0,24,"holly leaf"
15,"random","pqesetud",6,"p122","reordered_keywords_1","shield",1,24,"shield"
