participant.id_in_session,subsession.round_number,session.code,participant_number,network_size,condition,confederate,item_number,answers,target
15,9,fnhksv1f,p178,24,ws,seperated,reordered_keywords_1,giraffe,0
15,9,fnhksv1f,p178,24,ws,seperated,reordered_keywords_4,birds,0
16,4,fnhksv1f,p179,24,ws,seperated,reordered_keywords_1,star,0
16,4,fnhksv1f,p179,24,ws,seperated,reordered_keywords_4,shield,0
16,6,fnhksv1f,p179,24,ws,seperated,reordered_keywords_1,h,0
16,6,fnhksv1f,p179,24,ws,seperated,reordered_keywords_4,petal,0
16,9,fnhksv1f,p179,24,ws,seperated,reordered_keywords_1,star,0
16,9,fnhksv1f,p179,24,ws,seperated,reordered_keywords_4,crown,0
17,5,fnhksv1f,p180,24,ws,seperated,reordered_keywords_1,bug,0
17,5,fnhksv1f,p180,24,ws,seperated,reordered_keywords_4,shield,0
17,6,fnhksv1f,p180,24,ws,seperated,reordered_keywords_1,bug,0
17,6,fnhksv1f,p180,24,ws,seperated,reordered_keywords_4,shield,0
17,7,fnhksv1f,p180,24,ws,seperated,reordered_keywords_1,heart antena,0
17,7,fnhksv1f,p180,24,ws,seperated,reordered_keywords_4,shield,0
17,9,fnhksv1f,p180,24,ws,seperated,reordered_keywords_1,shield,1
17,9,fnhksv1f,p180,24,ws,seperated,reordered_keywords_4,antennae,1
18,4,fnhksv1f,p181,24,ws,seperated,reordered_keywords_1,shield,1
18,4,fnhksv1f,p181,24,ws,seperated,reordered_keywords_4,antennae,1
18,9,fnhksv1f,p181,24,ws,seperated,reordered_keywords_1,dager,0
18,9,fnhksv1f,p181,24,ws,seperated,reordered_keywords_4,petal of flower,0
19,9,fnhksv1f,p182,24,ws,seperated,reordered_keywords_1,shield,1
19,9,fnhksv1f,p182,24,ws,seperated,reordered_keywords_4,antennae,1
1,2,15z4rjci,p146,24,ws,seperated,reordered_keywords_1,shield,1
1,2,15z4rjci,p146,24,ws,seperated,reordered_keywords_4,antennae,1
1,9,15z4rjci,p146,24,ws,seperated,reordered_keywords_1,shield,1
1,9,15z4rjci,p146,24,ws,seperated,reordered_keywords_4,horse shoe,0
2,3,15z4rjci,p147,24,ws,seperated,reordered_keywords_1,shield,1
2,3,15z4rjci,p147,24,ws,seperated,reordered_keywords_4,antennae,1
2,6,15z4rjci,p147,24,ws,seperated,reordered_keywords_1,shield,1
2,6,15z4rjci,p147,24,ws,seperated,reordered_keywords_4,antennae,1
2,9,15z4rjci,p147,24,ws,seperated,reordered_keywords_1,shield,1
2,9,15z4rjci,p147,24,ws,seperated,reordered_keywords_4,antennae,1
3,4,15z4rjci,p148,24,ws,seperated,reordered_keywords_1,shield,1
3,4,15z4rjci,p148,24,ws,seperated,reordered_keywords_4,antennae,1
3,9,15z4rjci,p148,24,ws,seperated,reordered_keywords_1,shield,1
3,9,15z4rjci,p148,24,ws,seperated,reordered_keywords_4,antennae,1
4,3,15z4rjci,p149,24,ws,seperated,reordered_keywords_1,shield,1
4,3,15z4rjci,p149,24,ws,seperated,reordered_keywords_4,antennae,1
4,5,15z4rjci,p149,24,ws,seperated,reordered_keywords_4,2 snails,0
4,9,15z4rjci,p149,24,ws,seperated,reordered_keywords_1,shield,1
4,9,15z4rjci,p149,24,ws,seperated,reordered_keywords_4,antennae,1
5,5,15z4rjci,p150,24,ws,seperated,reordered_keywords_1,shield,1
5,5,15z4rjci,p150,24,ws,seperated,reordered_keywords_4,antennae,1
5,8,15z4rjci,p150,24,ws,seperated,reordered_keywords_1,shield,1
5,8,15z4rjci,p150,24,ws,seperated,reordered_keywords_4,antennae,1
5,9,15z4rjci,p150,24,ws,seperated,reordered_keywords_1,shield,1
5,9,15z4rjci,p150,24,ws,seperated,reordered_keywords_4,antennae,1
6,4,15z4rjci,p151,24,ws,seperated,reordered_keywords_1,spoon,0
6,4,15z4rjci,p151,24,ws,seperated,reordered_keywords_4,snail,0
6,7,15z4rjci,p151,24,ws,seperated,reordered_keywords_1,snail,0
6,7,15z4rjci,p151,24,ws,seperated,reordered_keywords_4,spoon,0
6,9,15z4rjci,p151,24,ws,seperated,reordered_keywords_1,spoon,0
6,9,15z4rjci,p151,24,ws,seperated,reordered_keywords_4,snail,0
7,5,15z4rjci,p152,24,ws,seperated,reordered_keywords_1,spoon,0
7,5,15z4rjci,p152,24,ws,seperated,reordered_keywords_4,worm,0
7,6,15z4rjci,p152,24,ws,seperated,reordered_keywords_1,spoon,0
7,6,15z4rjci,p152,24,ws,seperated,reordered_keywords_4,worm,0
7,9,15z4rjci,p152,24,ws,seperated,reordered_keywords_1,spork,0
7,9,15z4rjci,p152,24,ws,seperated,reordered_keywords_4,worms,0
8,9,15z4rjci,p153,24,ws,seperated,reordered_keywords_1,spoon,0
8,9,15z4rjci,p153,24,ws,seperated,reordered_keywords_4,worms,0
9,3,15z4rjci,p154,24,ws,seperated,reordered_keywords_1,spoon,0
9,3,15z4rjci,p154,24,ws,seperated,reordered_keywords_4,snail,0
9,7,15z4rjci,p154,24,ws,seperated,reordered_keywords_1,dragon head,0
9,7,15z4rjci,p154,24,ws,seperated,reordered_keywords_4,antennae,1
9,9,15z4rjci,p154,24,ws,seperated,reordered_keywords_1,spork,0
9,9,15z4rjci,p154,24,ws,seperated,reordered_keywords_4,worms,0
